,EQUIPMENT_DESC,Count
223,CAPPER 25 HD LINE 3,73
224,L3 CONV_MT_EMPTY_BTL_L3EBC300,73
225,CASE CONVEYOR (SPIRAL SP-1),73
226,CONV_MT_FC1600_M1850,72
227,L4 SORTER_PALLET_EMPTY_STACKER,69
228,L4 CONV_MT_M13_M16,69
229,L3 CODER_INKJET_CAN_MARKEM-IMAJE_#2,68
230,DEAERATOR_DEOX LINE 4,68
231,CONV_MT_FULL_BTL_L1FC130,68
232,PACKR_SHRINK,67
233,CONV_MT_FULL_BTL_L1FC10,67
234,CONV_MT_FULL_BTL_L1FB100,67
235,FILL DETECTOR HEUFT LINE 3,66
236,FILL DETECTOR HEUFT LINE 1,66
237,EMPTY CAN CONVEYOR (EC1),66
238,LAB_EQUIP_WATER_METER,65
239,CONV_MT_FULL_BTL_L1FC120,64
240,L2 FILL DETECTOR HEUFT LINE 2,64
241,L2 CONV_MT_M209_M211,64
242,PUMP_RECIP_HIGH_PRESSURE_NF,64
243,WRAPPER_STRETCH_TURNTBL_SM004035,63
244,CONV_MT_FULL_BTL_L1FB80,61
245,CONV_MT_FULL_BTL_L1FB90,61
246,LINE 1 WMR_SPRAY,60
247,TANK_SS_STOR_TANK_3,60
248,L2 BOTTLE VISION,59
249,TOWER_CARB_WESTERN,59
250,L4 HT_EXCH_PLT_FRAME,55
251,L3 WULFTEC PALLET WRAPPER (NEW),55
252,L1 NITROGEN_DOSER_CRYODOSER 2K,53
253,CONV_RLLR_OVERHEAD,53
254,CO2_SYS_REFRIGERATION_UNIT_1,53
255,L04 MICROBLEND/MIXER,52
256,TANK_STL_STOR_CO2_SILO_1,51
257,L9 WMR_SPRAY_UNIPAC,50
258,SANIT_CIP_SYS_SYRUP_B,48
259,ALLIANCE CONVEYOR SYSTEM,48
260,BULK CAP HOPPER,48
261,L4 NITROGEN_DOSER_CRYODOSER 2K,47
262,L3 INTERLOX_ CASE_DIVERTER_S7050,46
263,MICROBLEND MICRO2 BLENDER (LINE 1),44
264,L1 CHILLER,43
265,L2 MICROBLEND MICRO2 BLENDER,43
266,TANK_SS_STOR_SYRUP_3,43
267,L1 EAST FILTEC,41
268,L2 ALLIANCE-CCF204 SPIRAL DISCHARGE,39
269,L3 CONV_MT_FULL_BTL_L3FBC1000,39
270,TANK_STL_STOR_CO2_SILO_2,39
271,L2 ALLIANCE-CCF205 PALLETIZER INFEED,38
272,PACKER ACCUMULATION TABLE,38
273,L3 GAMMA LEVEL DETECTION (NORTH),38
274,TESTER_PACKAGE_PRESSURE_BURST,37
275,L3 BOTTLE RINSER,36
276,SELLERS BOILER #1,36
277,RECOVERY TANK PUMP MOTOR,35
278,CONV_MT_FULL_BTL,35
279,TANK_SS_STOR_SYRUP_2,35
280,TANK_STL_STOR_RO,35
281,TANK_STL_STOR_NITROGEN_RCV,33
282,L2 CODER TRINE - EAST,33
283,PUMP_CENT_SANIT_WATER L1,32
284,MICROBLEND MICRO2 BLENDER (LINE 3),31
285,CONV_FBELT_EMPTY_CASE,31
286,EYEWASH STATIONS - ALL,31
287,L3 FULL CAN LASER CODER,31
288,CODER_INKJET_A200,31
289,TANK_STL_STOR_HOLDING_RECOVER,30
290,ALLIANCE - EMPTY CAN CHUTE,30
291,LINE 1 CODER_INKJET_90C06015,29
292,L2 CHILLER,29
293,L2 NITROGEN INJECTOR,29
294,L2 BOTTLE RINSER,28
295,TANK_SS_STOR_SANTIZING_2,28
296,L2 ORION WRAPPER,28
